Core	Average	Leaves
group1	0.036	otu975;otu381;otu855;otu314;otu348;otu621;otu286;otu433;otu10;otu365;otu382;otu125;otu562;otu133;otu163;otu194;otu69;otu367;otu955;otu352;otu762;otu574;otu610;otu704;otu785;otu57;otu330;otu187;otu885;otu253;otu134;otu499;otu380
group2	0.031	otu147;otu578;otu82;otu13;otu418;otu570;otu238;otu795;otu820;otu310;otu653;otu758;otu933;otu169;otu580;otu776;otu721;otu756;otu893;otu334;otu56;otu963;otu920;otu787;otu673;otu694;otu642;otu485;otu679;otu921;otu180;otu186;otu528
group3	0.016	otu475;otu2;otu378;otu928;otu50;otu460;otu258;otu257;otu456;otu815;otu609;otu393;otu517;otu226;otu392;otu949;otu39;otu54;otu930;otu812;otu247;otu814;otu667;otu45;otu657;otu371;otu137;otu502;otu101;otu29;otu709;otu856;otu582
group4	0.009	otu111;otu444;otu915;otu981;otu870;otu1;otu61;otu698;otu789;otu910;otu208;otu278;otu16;otu256;otu36;otu171;otu91;otu602;otu413;otu912;otu710;otu862;otu554;otu308;otu174;otu638;otu534;otu675;otu720;otu845;otu896;otu628;otu9
group5	0.107	otu734;otu839;otu587;otu998;otu533;otu809;otu241;otu833;otu702;otu399;otu550;otu104;otu491;otu699;otu168;otu34;otu78;otu612;otu473;otu596;otu648;otu836;otu995;otu435;otu555;otu343;otu696;otu296;otu565;otu543;otu177;otu685;otu199
group6	0.028	otu843;otu965;otu876;otu459;otu119;otu823;otu328;otu753;otu83;otu731;otu361;otu844;otu883;otu304;otu725;otu938;otu366;otu55;otu572;otu898;otu670;otu687;otu586;otu201;otu540;otu819;otu656;otu860;otu84;otu781;otu322;otu760;otu970
group7	0.027	otu840;otu558;otu553;otu604;otu351;otu324;otu354;otu705;otu150;otu205;otu979;otu803;otu389;otu183;otu645;otu30;otu222;otu285;otu166;otu329;otu313;otu524;otu723;otu952;otu652;otu672;otu438;otu93;otu575;otu764;otu67;otu315;otu347
group8	0.027	otu443;otu375;otu766;otu135;otu99;otu250;otu423;otu326;otu779;otu295;otu448;otu605;otu130;otu732;otu992;otu489;otu5;otu728;otu637;otu977;otu336;otu522;otu129;otu537;otu49;otu228;otu592;otu869;otu148;otu865;otu548;otu255;otu867
group9	0.006	otu319;otu941;otu385;otu127;otu927;otu462;otu788;otu841;otu903;otu349;otu424;otu854;otu513;otu388;otu793;otu957;otu154;otu430;otu929;otu894;otu321;otu741;otu210;otu126;otu940;otu355;otu794;otu504;otu589;otu660;otu514;otu774;otu932
group10	0.036	otu420;otu647;otu453;otu115;otu254;otu495;otu176;otu943;otu796;otu768;otu270;otu690;otu792;otu19;otu441;otu585;otu338;otu945;otu461;otu777;otu695;otu230;otu165;otu904;otu566;otu198;otu775;otu654;otu293;otu507;otu268;otu643;otu337
group11	0.014	otu678;otu202;otu145;otu601;otu390;otu808;otu411;otu595;otu859;otu264;otu218;otu802;otu290;otu718;otu68;otu269;otu746;otu748;otu450;otu729;otu518;otu877;otu38;otu261;otu996;otu664;otu301;otu114;otu832;otu63;otu259;otu272;otu195
group12	0.025	otu394;otu958;otu292;otu858;otu615;otu223;otu913;otu822;otu428;otu94;otu641;otu207;otu191;otu251;otu523;otu684;otu846;otu391;otu121;otu538;otu974;otu531;otu722;otu891;otu128;otu312;otu969;otu185;otu469;otu889;otu693;otu359;otu181
group13	0.045	otu828;otu369;otu471;otu783;otu23;otu404;otu102;otu90;otu874;otu525;otu60;otu544;otu708;otu665;otu455;otu627;otu614;otu999;otu131;otu303;otu947;otu887;otu62;otu189;otu249;otu506;otu340;otu89;otu193;otu827;otu12;otu579;otu402
group14	0.022	otu86;otu984;otu140;otu160;otu688;otu106;otu156;otu551;otu973;otu37;otu956;otu608;otu490;otu265;otu872;otu805;otu442;otu897;otu221;otu325;otu305;otu197;otu924;otu511;otu597;otu754;otu881;otu906;otu144;otu25;otu85;otu715;otu603
group15	0.037	otu358;otu811;otu447;otu972;otu350;otu784;otu646;otu48;otu982;otu11;otu631;otu931;otu4;otu445;otu880;otu146;otu986;otu317;otu481;otu838;otu95;otu954;otu227;otu311;otu219;otu763;otu346;otu944;otu953;otu882;otu466;otu717;otu496
group16	0.034	otu416;otu925;otu888;otu236;otu374;otu983;otu501;otu521;otu950;otu159;otu477;otu266;otu318;otu75;otu132;otu677;otu980;otu211;otu716;otu373;otu799;otu494;otu213;otu224;otu853;otu421;otu112;otu658;otu344;otu434;otu976;otu216;otu683
group17	0.098	otu332;otu966;otu467;otu422;otu103;otu333;otu271;otu405;otu136;otu58;otu620;otu15;otu79;otu922;otu861;otu417;otu634;otu569;otu43;otu755;otu414;otu225;otu573;otu703;otu782;otu911;otu398;otu108;otu837;otu842;otu282;otu280;otu408
group18	0.052	otu141;otu752;otu801;otu997;otu549;otu707;otu364;otu742;otu682;otu397;otu745;otu719;otu214;otu769;otu96;otu342;otu666;otu44;otu772;otu780;otu519;otu568;otu158;otu212;otu847;otu139;otu80;otu771;otu320;otu173;otu239;otu993;otu204
group19	0.016	otu561;otu287;otu277;otu237;otu188;otu217;otu851;otu215;otu72;otu17;otu341;otu635;otu581;otu810;otu935;otu800;otu624;otu571;otu639;otu109;otu907;otu307;otu866;otu356;otu138;otu978;otu263;otu618;otu432;otu968;otu798;otu6;otu117
group20	0.019	otu813;otu446;otu607;otu20;otu878;otu824;otu368;otu616;otu245;otu178;otu767;otu640;otu564;otu51;otu706;otu28;otu778;otu850;otu175;otu692;otu464;otu403;otu65;otu246;otu353;otu606;otu335;otu327;otu100;otu172;otu362;otu759;otu167
group21	0.027	otu503;otu791;otu192;otu300;otu415;otu576;otu546;otu535;otu697;otu21;otu316;otu663;otu563;otu545;otu161;otu825;otu492;otu113;otu520;otu886;otu527;otu773;otu243;otu164;otu733;otu914;otu905;otu7;otu681;otu46;otu458;otu97;otu309
group22	0.062	otu220;otu644;otu483;otu203;otu457;otu951;otu242;otu149;otu454;otu864;otu674;otu790;otu31;otu892;otu209;otu182;otu871;otu661;otu297;otu918;otu736;otu730;otu633;otu81;otu516;otu567;otu662;otu961;otu400;otu331;otu383;otu276;otu299
group23	0.015	otu196;otu600;otu649;otu306;otu363;otu170;otu64;otu934;otu437;otu560;otu476;otu1000;otu626;otu41;otu890;otu283;otu409;otu622;otu873;otu740;otu936;otu53;otu143;otu419;otu486;otu923;otu875;otu231;otu40;otu465;otu749;otu655;otu739
group24	0.007	otu26;otu948;otu583;otu971;otu625;otu436;otu153;otu650;otu826;otu529;otu526;otu611;otu804;otu691;otu617;otu509;otu478;otu991;otu370;otu761;otu52;otu122;otu377;otu35;otu24;otu22;otu967;otu267;otu651;otu118;otu831;otu482;otu18
group25	0.117	otu73;otu463;otu724;otu279;otu750;otu480;otu429;otu427;otu439;otu479;otu200;otu908;otu797;otu452;otu386;otu987;otu488;otu284;otu401;otu379;otu98;otu451;otu487;otu274;otu726;otu76;otu916;otu151;otu712;otu32;otu248;otu508;otu821
group26	0.015	otu849;otu387;otu179;otu942;otu632;otu744;otu630;otu557;otu909;otu288;otu142;otu629;otu498;otu727;otu426;otu234;otu765;otu994;otu900;otu743;otu376;otu260;otu556;otu87;otu470;otu431;otu47;otu107;otu190;otu92;otu275;otu817;otu229
group27	0.009	otu232;otu926;otu714;otu686;otu123;otu946;otu594;otu66;otu917;otu552;otu902;otu829;otu384;otu919;otu939;otu541;otu757;otu3;otu273;otu407;otu711;otu542;otu899;otu985;otu27;otu71;otu584;otu474;otu536;otu636;otu120;otu298;otu747
group28	0.043	otu162;otu806;otu449;otu689;otu539;otu281;otu738;otu547;otu512;otu959;otu395;otu425;otu42;otu244;otu591;otu357;otu669;otu868;otu339;otu818;otu988;otu964;otu700;otu786;otu410;otu577;otu989;otu497;otu406;otu33;otu807;otu510;otu937
group29	0.009	otu751;otu623;otu593;otu505;otu360;otu619;otu440;otu294;otu59;otu116;otu990;otu671;otu412;otu152;otu713;otu668;otu484;otu262;otu323;otu857;otu848;otu532;otu599;otu155;otu302;otu863;otu124;otu830;otu291;otu962;otu515;otu879;otu559
group30	0.01	otu835;otu493;otu852;otu206;otu472;otu105;otu834;otu884;otu735;otu901;otu74;otu770;otu240;otu8;otu737;otu590;otu500;otu235;otu233;otu588;otu252;otu372;otu157;otu110;otu77;otu701;otu14;otu680;otu676;otu70;otu598;otu659;otu345;otu184;otu88;otu468;otu895;otu289;otu530;otu396;otu613;otu960;otu816
1000		
