Core	Average	Leaves
group1	0.3	otu773;otu82;otu473;otu416;otu139;otu182;otu514;otu690;otu18;otu261;otu990;otu999;otu749;otu437;otu630;otu966;otu731;otu303;otu860;otu674;otu274;otu597;otu698;otu67;otu761;otu708;otu992;otu728;otu180;otu559;otu727;otu736;otu436;otu687;otu205;otu650;otu403;otu952;otu373;otu925;otu151;otu395;otu192;otu434;otu447;otu453;otu991;otu683;otu850;otu353;otu398;otu188;otu460;otu926;otu219;otu787;otu253;otu905;otu818;otu976;otu337;otu176;otu673;otu1000;otu857;otu962;otu248;otu579;otu712;otu744;otu812;otu457;otu969;otu223;otu438;otu155;otu873;otu396;otu198;otu796;otu858;otu270;otu830;otu989;otu664;otu213;otu634;otu827;otu492;otu932;otu813;otu725;otu487;otu410;otu275;otu119;otu69;otu222;otu591;otu445
group2	0.2	otu617;otu427;otu723;otu911;otu345;otu293;otu278;otu65;otu811;otu499;otu464;otu9;otu703;otu540;otu662;otu217;otu206;otu770;otu481;otu228;otu909;otu669;otu764;otu290;otu604;otu480;otu431;otu924;otu845;otu636;otu393;otu379;otu916;otu135;otu474;otu987;otu242;otu299;otu993;otu910;otu133;otu328;otu150;otu988;otu334;otu5;otu183;otu271;otu361;otu649;otu7;otu59;otu420;otu402;otu45;otu863;otu49;otu254;otu568;otu941;otu623;otu743;otu711;otu321;otu497;otu534;otu432;otu335;otu504;otu262;otu977;otu174;otu202;otu351;otu572;otu252;otu730;otu390;otu340;otu946;otu585;otu520;otu801;otu922;otu104;otu928;otu306;otu237;otu91;otu138;otu181;otu542;otu535;otu954;otu765;otu35;otu940;otu751;otu931;otu281
group3	0.15	otu804;otu285;otu130;otu385;otu947;otu564;otu959;otu524;otu256;otu797;otu493;otu538;otu753;otu970;otu458;otu175;otu84;otu455;otu459;otu418;otu886;otu27;otu587;otu862;otu350;otu158;otu461;otu920;otu766;otu697;otu120;otu700;otu589;otu362;otu148;otu771;otu933;otu392;otu439;otu327;otu626;otu118;otu354;otu606;otu628;otu943;otu42;otu742;otu359;otu33;otu469;otu575;otu364;otu684;otu496;otu346;otu41;otu291;otu665;otu208;otu332;otu778;otu982;otu370;otu562;otu624;otu808;otu406;otu238;otu942;otu330;otu902;otu699;otu822;otu745;otu994;otu576;otu360;otu826;otu781;otu484;otu755;otu316;otu907;otu167;otu583;otu419;otu413;otu752;otu655;otu658;otu401;otu651;otu501;otu315;otu199;otu502;otu446;otu713;otu411
group4	0.1	otu567;otu314;otu239;otu894;otu936;otu279;otu973;otu581;otu488;otu46;otu426;otu89;otu846;otu309;otu888;otu783;otu422;otu476;otu1;otu249;otu407;otu472;otu227;otu792;otu149;otu295;otu415;otu643;otu53;otu901;otu840;otu412;otu417;otu893;otu610;otu882;otu547;otu178;otu844;otu679;otu428;otu515;otu369;otu629;otu342;otu414;otu527;otu852;otu889;otu622;otu967;otu868;otu726;otu423;otu897;otu799;otu147;otu963;otu245;otu83;otu329;otu834;otu122;otu605;otu915;otu39;otu785;otu506;otu47;otu878;otu289;otu695;otu409;otu451;otu3;otu233;otu972;otu162;otu92;otu107;otu156;otu38;otu532;otu102;otu790;otu430;otu368;otu101;otu164;otu108;otu159;otu859;otu598;otu603;otu194;otu557;otu666;otu741;otu521;otu258
group5	0.085	otu276;otu986;otu729;otu867;otu131;otu668;otu305;otu706;otu266;otu560;otu168;otu914;otu186;otu523;otu232;otu837;otu678;otu569;otu29;otu166;otu500;otu625;otu190;otu979;otu541;otu441;otu61;otu817;otu387;otu225;otu646;otu849;otu960;otu956;otu25;otu705;otu877;otu593;otu79;otu485;otu191;otu887;otu134;otu348;otu297;otu343;otu95;otu763;otu444;otu656;otu522;otu44;otu143;otu269;otu153;otu106;otu408;otu126;otu21;otu163;otu746;otu810;otu558;otu883;otu308;otu732;otu607;otu561;otu211;otu43;otu793;otu948;otu100;otu737;otu735;otu854;otu386;otu34;otu300;otu762;otu15;otu338;otu633;otu229;otu10;otu724;otu366;otu983;otu450;otu381;otu608;otu652;otu116;otu638;otu791;otu498;otu399;otu115;otu530;otu618
group6	0.06	otu405;otu533;otu551;otu529;otu913;otu218;otu939;otu326;otu154;otu372;otu892;otu144;otu52;otu255;otu688;otu639;otu556;otu363;otu588;otu595;otu958;otu880;otu272;otu843;otu847;otu675;otu429;otu495;otu968;otu375;otu210;otu12;otu468;otu874;otu26;otu537;otu110;otu283;otu855;otu777;otu201;otu704;otu324;otu717;otu389;otu58;otu78;otu157;otu825;otu870;otu424;otu479;otu929;otu319;otu890;otu145;otu609;otu750;otu123;otu241;otu507;otu774;otu87;otu739;otu212;otu114;otu531;otu945;otu691;otu442;otu96;otu820;otu50;otu355;otu508;otu48;otu779;otu701;otu296;otu374;otu284;otu94;otu554;otu184;otu616;otu823;otu841;otu861;otu816;otu631;otu734;otu961;otu75;otu543;otu171;otu240;otu54;otu978;otu577;otu277
group7	0.05	otu344;otu565;otu619;otu900;otu710;otu611;otu318;otu908;otu938;otu189;otu795;otu483;otu371;otu719;otu903;otu221;otu975;otu672;otu951;otu544;otu685;otu919;otu105;otu709;otu478;otu814;otu55;otu121;otu486;otu775;otu614;otu884;otu425;otu632;otu640;otu452;otu659;otu259;otu677;otu482;otu494;otu505;otu798;otu519;otu383;otu760;otu641;otu647;otu352;otu620;otu286;otu358;otu571;otu489;otu692;otu109;otu264;otu553;otu663;otu937;otu722;otu161;otu573;otu66;otu282;otu475;otu141;otu949;otu477;otu838;otu378;otu784;otu236;otu99;otu661;otu612;otu62;otu301;otu341;otu298;otu866;otu768;otu336;otu173;otu113;otu881;otu964;otu462;otu747;otu754;otu899;otu16;otu63;otu815;otu257;otu347;otu833;otu365;otu885;otu394
group8	0.035	otu642;otu72;otu509;otu268;otu917;otu602;otu757;otu140;otu621;otu64;otu681;otu165;otu251;otu957;otu648;otu214;otu635;otu195;otu829;otu81;otu831;otu584;otu756;otu30;otu599;otu51;otu467;otu667;otu471;otu821;otu311;otu786;otu985;otu307;otu546;otu265;otu463;otu525;otu759;otu243;otu77;otu895;otu456;otu923;otu312;otu772;otu549;otu28;otu185;otu720;otu718;otu536;otu267;otu88;otu209;otu263;otu196;otu111;otu376;otu230;otu660;otu680;otu449;otu388;otu510;otu172;otu864;otu702;otu70;otu71;otu440;otu574;otu839;otu204;otu715;otu906;otu965;otu998;otu8;otu758;otu13;otu803;otu944;otu526;otu179;otu90;otu160;otu127;otu686;otu31;otu570;otu596;otu246;otu518;otu997;otu767;otu601;otu748;otu169;otu733
group9	0.015	otu207;otu586;otu325;otu950;otu513;otu832;otu590;otu80;otu200;otu981;otu247;otu435;otu466;otu548;otu682;otu129;otu226;otu871;otu152;otu433;otu872;otu454;otu511;otu124;otu716;otu203;otu224;otu707;otu294;otu563;otu780;otu37;otu19;otu68;otu694;otu349;otu550;otu97;otu615;otu891;otu671;otu898;otu819;otu835;otu421;otu490;otu2;otu955;otu807;otu103;otu853;otu921;otu313;otu448;otu382;otu809;otu187;otu670;otu470;otu377;otu320;otu848;otu280;otu789;otu984;otu292;otu600;otu935;otu323;otu904;otu851;otu40;otu594;otu824;otu22;otu142;otu552;otu235;otu637;otu980;otu24;otu539;otu555;otu934;otu136;otu592;otu317;otu491;otu215;otu302;otu503;otu73;otu696;otu842;otu322;otu996;otu56;otu876;otu93;otu930
group10	0.005	otu689;otu465;otu676;otu769;otu20;otu193;otu310;otu60;otu856;otu875;otu146;otu788;otu11;otu273;otu86;otu578;otu380;otu32;otu6;otu995;otu869;otu85;otu613;otu36;otu234;otu545;otu400;otu250;otu288;otu776;otu76;otu4;otu397;otu197;otu805;otu17;otu516;otu23;otu170;otu582;otu356;otu287;otu953;otu645;otu865;otu657;otu443;otu927;otu367;otu512;otu738;otu404;otu974;otu918;otu216;otu800;otu339;otu391;otu177;otu627;otu331;otu137;otu828;otu117;otu879;otu693;otu357;otu740;otu112;otu333;otu384;otu57;otu244;otu125;otu132;otu802;otu912;otu806;otu836;otu782;otu128;otu654;otu653;otu580;otu517;otu566;otu896;otu14;otu260;otu971;otu220;otu231;otu644;otu714;otu74;otu721;otu98;otu304;otu794;otu528
