Core	Average	Leaves
group1	0.1	otu83;otu33;otu51;otu2;otu44;otu86;otu98;otu25;otu65;otu92
group2	0.1	otu46;otu32;otu72;otu70;otu18;otu59;otu97;otu77;otu29;otu78
group3	0.1	otu48;otu68;otu94;otu52;otu71;otu16;otu3;otu64;otu35;otu40
group4	0.1	otu55;otu95;otu31;otu93;otu84;otu21;otu80;otu13;otu47;otu30
group5	0.1	otu9;otu62;otu79;otu19;otu49;otu66;otu10;otu41;otu54;otu87
group6	0.1	otu17;otu67;otu23;otu90;otu89;otu50;otu8;otu1;otu22;otu73
group7	0.1	otu45;otu34;otu88;otu42;otu14;otu28;otu82;otu58;otu63;otu91
group8	0.1	otu5;otu26;otu36;otu75;otu15;otu99;otu11;otu4;otu60;otu74
group9	0.1	otu7;otu53;otu96;otu76;otu61;otu37;otu38;otu24;otu100;otu27
group10	0.1	otu81;otu12;otu43;otu69;otu20;otu57;otu56;otu6;otu85;otu39
100		
