""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	10028	10172	10158	10088	9991	9876	9923	9663	10053	10063	10035	10171	10087	10102	10017	10049	9917	9993	10145	9972	10073	10016	10082	9919	9861	10123	9992	9932	10113	9825
"otu10"	10060	9953	10063	10096	10138	10149	9906	10175	9970	9857	9979	10048	9956	10017	10053	10042	10053	9950	10122	9995	9989	10043	9985	9990	9911	10179	9814	9878	9925	9878
"otu100"	9936	9990	9978	10088	9964	10028	10267	10039	10093	10032	10064	10105	9886	10038	10075	10017	10223	10007	9872	9926	10152	9971	9897	9975	10074	9835	9963	10275	9992	10139
"otu11"	10156	10045	9911	9921	10005	9984	9853	9849	9872	9819	9975	10037	10003	10033	9979	10067	10172	10050	9898	9974	9909	9968	9881	10022	10129	9980	10026	9838	9911	9959
"otu12"	9955	9978	10091	10059	10218	9951	10017	9975	9874	9969	9994	10064	9989	9937	10040	10000	10013	9957	10040	10064	9886	9990	9975	9874	10058	9988	10135	9962	10016	9961
"otu13"	9978	9935	9916	9944	10024	9901	10020	9980	9878	10069	10009	10073	9950	9976	9923	9904	9981	10097	10043	10101	9901	9876	10004	9980	10010	9897	9913	10100	10019	10036
"otu14"	10104	9960	9915	9806	9872	9849	10003	10123	10082	9895	9932	10052	9998	10000	9908	9922	9945	10151	9967	10080	10010	10070	10120	10003	10019	10046	9925	10025	9891	9948
"otu15"	10069	10061	10058	9933	10108	10056	9872	10060	9977	10172	10020	10122	10018	10055	10003	9999	10043	10127	9892	10023	10128	10198	10033	9996	9970	9991	9965	9924	9837	9967
"otu16"	9923	9917	9856	10014	9832	9960	10118	10003	10134	9918	9804	10120	10068	9848	9848	9966	10031	9888	10093	10048	10116	9791	9882	10144	9988	9916	10150	9965	10045	9776
"otu17"	9978	9746	10116	10182	10039	9975	10026	9990	9903	9956	9982	10007	9925	10027	9997	9887	9914	9994	9932	10048	9892	10134	10024	9847	10002	9922	10114	9946	10131	9922
"otu18"	9974	9951	9951	9997	9914	10000	10047	9834	9839	10072	10105	9898	10039	10030	10006	9898	10039	9925	10046	10143	9859	10048	9906	9924	10101	10043	9998	9769	10047	9992
"otu19"	10007	10068	9953	9998	9995	9946	10134	10058	10092	9960	9942	10253	9995	10196	9999	9875	10120	10053	9942	9870	9965	10091	9871	9861	9777	10260	10069	9904	10089	10116
"otu2"	10061	9979	9921	10034	9996	10106	9836	10053	10021	10172	10004	9995	9945	9981	9999	10105	10129	10076	9926	9935	9863	10156	10138	10018	9810	10101	9946	9956	10118	9964
"otu20"	9976	10122	9990	10122	10040	9971	10109	10004	9960	9840	9794	9895	9944	9796	9985	9882	9925	10001	9830	10006	9948	10030	10078	9983	10084	9777	10113	10059	10022	9842
"otu21"	9928	9910	10123	10039	10109	10027	10003	10091	10038	9940	10146	9997	10046	10206	9780	10218	10083	10067	9981	9894	10059	10173	10079	9910	10027	9949	9916	9926	9957	10095
"otu22"	10065	10037	9995	10071	10030	10086	10060	10052	9960	10034	10003	9832	9989	10001	10032	9968	9946	9935	10011	9974	10062	10050	9830	10112	9916	9956	10086	9874	9939	10023
"otu23"	10004	9849	9900	10007	9962	10054	10051	10009	10005	10053	10148	10028	10212	9917	10048	9895	9909	10014	9926	10027	10002	10009	10130	10031	10295	9958	9971	10082	10071	9995
"otu24"	9850	9955	10022	10064	10056	10016	9854	9908	10008	10176	9970	9870	9882	9906	10084	10165	9932	9753	10012	10053	10244	9864	10013	10042	9804	10033	9869	10109	9881	10023
"otu25"	10130	10069	10170	10039	10027	9960	10110	9843	9998	10097	9818	9884	9973	10075	10008	9905	9892	9963	9833	9781	10035	9920	10006	10050	10011	10003	10018	9924	9942	9966
"otu26"	9908	10127	9856	9869	9863	10121	10020	10161	10089	10007	9897	9880	10084	10048	10039	10052	9982	10033	10061	10032	10090	10034	10003	9823	9936	10154	9858	10171	9907	9911
"otu27"	10009	9985	10058	9810	10002	9836	10052	10083	9974	10045	10026	10145	10101	10119	9999	9880	10072	10051	9789	10093	10194	9895	10054	9784	10029	9821	9876	10065	9936	10114
"otu28"	10175	9867	9996	10043	9885	9998	9897	9933	9911	9765	10018	9982	9897	10005	10074	9854	9984	10099	9988	9988	9838	10164	10029	9880	9997	9865	9943	10051	10045	10006
"otu29"	9907	9927	9928	9885	10109	9973	10024	10053	9922	10103	10023	9898	10110	9973	9974	9977	10036	10034	10153	9949	10082	10130	9948	9971	9880	9948	9917	9989	9746	9976
"otu3"	10194	10076	9930	10031	10043	9998	9980	10004	10057	10014	9940	9879	10128	9816	10111	10032	10090	10115	9939	9752	10053	9827	9866	9922	10037	10004	9958	10053	9860	10112
"otu30"	10037	10058	10000	9892	10022	9916	9967	9901	10062	10115	9893	10049	10190	9992	10009	9969	9948	10080	9892	9984	10040	10056	9959	10059	9773	10037	10087	9941	9998	9971
"otu31"	9957	10034	9938	10069	9859	10044	9928	10018	9943	10053	9992	9841	10163	10070	10140	9995	9924	10022	9909	10041	9927	10006	9924	10033	10032	10252	10348	10046	9978	9940
"otu32"	10147	10096	9970	10037	9981	10101	9897	9822	9985	10076	10010	10019	10072	9882	10152	10038	10037	10063	10230	10104	10006	10073	10093	10121	10018	10071	9815	10061	9866	9923
"otu33"	9946	9929	10062	10070	9953	9995	9964	9978	10157	9990	10118	9936	10197	10083	9999	9956	10176	10171	10143	10073	10101	10100	9916	10149	10091	10018	10032	10058	10158	10145
"otu34"	9859	9962	9974	9909	10125	10094	9995	9979	9990	10024	9924	10148	9928	9851	9835	9924	9979	9955	10035	9923	10038	9882	10032	10020	10218	9967	10063	9893	10300	10196
