""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	29129	24882	5337	13812	12790	1360	565	5634	12842	13035	1614	2105	10478	14786	10633	1729	2465	3132	3295	14919	5062	5415	4951	8626	3402	2260	1905	4343	30903	12635
"otu10"	9572	2421	2902	3487	7223	6809	1869	2067	3939	29323	16106	4256	4561	864	4277	1475	2936	4178	7634	1391	10513	27768	1144	17037	5008	5078	2245	43421	28076	231
"otu100"	1316	2717	10299	10387	7727	4934	17367	4651	25949	8278	13013	10189	30371	2370	3467	20350	13078	12054	2104	3676	3696	37968	21213	361	3246	1298	796	17157	28052	8080
"otu11"	20799	26363	2752	2347	2555	12152	2436	1185	4464	23426	5017	4021	32203	6862	8390	16153	11415	51262	24024	16248	16467	11508	25773	9532	7707	2142	2706	9656	11431	33973
"otu12"	769	6362	4813	19236	6541	12669	7380	7757	25480	16599	9883	4269	1022	26574	16059	45427	13389	35108	19845	3130	3495	9467	7344	1246	1367	1054	63711	8774	15788	4191
"otu13"	26426	17604	22520	7685	13100	2349	28640	3154	2064	8929	5888	687	7664	30885	11470	2361	17089	3291	8991	16129	5111	3403	7538	24893	1601	9669	5456	3965	12540	4676
"otu14"	3274	3341	7053	1660	4903	21156	6712	6524	7405	1844	20613	4981	3641	2623	21811	1894	11388	11811	4720	4239	8885	603	6604	41705	4799	16314	1758	1648	17371	7185
"otu15"	1040	5956	3648	25796	5445	7682	13138	3668	11917	6362	2706	1725	5307	7722	9730	7329	1907	17528	468	7295	2722	13815	8986	5334	10417	10642	3633	9565	27340	2254
"otu16"	2434	5339	3260	3473	4283	7387	18663	10134	68684	7849	15886	11584	5958	1721	2934	3992	3773	19955	5006	9752	10024	654	4792	1380	14832	2026	4059	26518	5393	10307
"otu17"	6383	4130	1244	3000	2034	13177	24817	17309	3749	9816	16820	6270	1905	3427	11600	6932	35856	13268	38918	1801	5389	46878	3009	19822	1534	35622	45747	12146	5559	8071
"otu18"	3780	14810	2729	12957	8742	7267	13985	18916	5737	15664	4446	17270	51448	12657	19945	3891	3672	3404	2548	6965	1896	19211	6718	4269	7980	4152	12410	1858	1068	16572
"otu19"	19179	1784	3955	6021	4069	10143	48113	13469	3703	5444	2364	2279	15385	3318	2307	22848	6548	10324	9280	10685	38737	3705	12253	9877	3474	3424	4266	10358	12010	15216
