""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	1299	175	150	1439	635	169	7490	1346	109	281	1705	576	120	458	491	340	511	717	630	1857	383	270	280	1441	1720	2480	1605	7933	646	423
"otu10"	318	1172	3740	362	1029	937	1376	1182	587	4703	776	960	422	1095	374	449	452	2240	4196	588	1015	420	174	362	118	1029	332	317	214	100
"otu100"	1308	189	141	211	503	1451	183	46	461	1064	1647	607	831	1188	530	1390	589	405	726	862	105	711	1555	849	1716	950	2976	936	7015	2844
"otu1000"	727	718	1263	402	1020	393	289	943	1903	1245	81	1224	1008	481	51	632	423	1433	452	1327	161	809	1599	575	556	2395	135	1069	835	58
"otu101"	1634	730	361	178	709	482	60	703	1038	2525	611	940	1659	1176	3630	923	2138	328	2209	567	80	5170	450	592	420	668	280	951	264	1258
"otu102"	138	806	106	2393	506	587	180	659	450	475	762	1288	504	1055	111	960	381	1282	603	727	450	1512	300	2686	1349	2264	5198	630	2804	1824
"otu103"	465	1366	404	610	589	2052	757	372	33	1050	512	2849	1343	1162	1831	496	1128	878	526	3168	407	758	3167	212	2790	2196	114	274	1453	363
"otu104"	180	840	503	102	1386	117	2818	1199	599	1252	781	1569	85	427	798	128	370	536	726	125	1313	868	1349	1095	821	206	1579	639	301	649
"otu105"	1196	1404	450	3294	66	838	1163	322	1712	1698	5667	640	660	562	925	1294	1205	485	635	942	423	1003	332	1250	2027	159	205	1012	826	3410
"otu106"	505	124	1698	264	693	512	326	763	1065	93	2391	573	2360	630	1176	435	131	788	755	202	3774	659	147	455	113	1390	517	1022	660	538
"otu107"	1944	412	693	762	342	1071	61	62	94	1644	1153	1546	1340	3751	3787	549	768	463	2872	3200	186	748	1056	2255	869	239	1296	731	776	819
"otu108"	6304	1442	1687	742	347	472	812	377	892	347	428	993	3058	367	181	212	1276	1864	187	2131	454	609	367	304	693	1558	429	2392	390	1332
"otu109"	75	397	380	233	2723	1005	70	206	300	346	412	337	384	6594	693	844	605	661	164	463	1032	438	708	527	267	601	1312	1005	3656	329
"otu11"	401	150	166	315	3788	1039	1400	338	1722	535	684	239	715	301	1020	228	650	905	1375	602	233	512	66	212	350	976	156	1710	2848	1128
"otu110"	680	276	219	1081	3104	82	483	192	3173	4258	1101	202	1082	147	170	961	1143	1703	844	543	810	261	1711	470	174	13210	422	152	900	447
"otu111"	388	270	1368	203	381	323	540	1305	3209	1073	274	87	294	291	970	111	2145	330	231	255	2099	1286	882	3695	1320	352	314	767	266	4361
"otu112"	719	2586	830	753	804	495	1110	511	157	1179	141	495	405	375	486	534	488	192	2060	67	787	684	498	1175	1234	97	130	238	2514	8079
"otu113"	422	240	120	488	1814	678	951	274	316	141	390	443	213	3215	812	519	1361	482	363	106	84	4555	253	841	262	536	436	642	990	358
"otu114"	75	1348	444	1700	316	170	133	1249	108	1187	2172	525	99	782	316	457	242	612	621	3080	1112	300	1298	424	2432	785	829	303	1391	72
"otu115"	773	734	2023	432	130	449	3647	1343	334	123	538	1725	1203	210	2887	968	1738	319	1711	109	1118	8674	1148	719	261	532	2812	494	1409	1626
"otu116"	852	160	429	324	1257	196	395	1369	655	221	459	2444	168	252	1198	552	499	671	6529	210	3034	1522	231	1223	664	105	1109	3454	692	483
"otu117"	237	1384	1643	815	680	2190	957	994	896	4531	169	443	64	689	772	910	332	756	8516	830	7384	290	556	600	1058	4544	864	1622	602	1254
"otu118"	463	102	4206	95	665	374	733	1810	101	754	554	423	638	118	1975	304	339	541	279	771	915	1726	2859	121	1162	351	3783	95	917	818
