""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	225	95	136	21	89	19	38	44	104	146	55	30	20	120	204	53	38	260	136	83	57	362	174	49	124	43	22	439	30	182
"otu10"	327	472	47	583	35	17	42	42	21	43	89	144	12	337	62	122	21	132	38	258	53	31	120	51	17	67	219	130	60	157
"otu100"	74	123	236	28	37	24	83	7	12	5	5	27	56	125	73	28	84	86	45	60	38	13	64	155	35	12	178	93	424	49
"otu11"	118	67	12	65	52	20	34	140	13	132	102	38	6	36	230	592	151	59	89	54	211	141	21	69	36	26	8	81	109	133
"otu12"	62	37	21	164	102	107	212	114	149	21	130	21	96	21	83	64	63	46	113	79	6	11	207	26	37	209	93	544	14	81
"otu13"	29	226	94	16	18	81	78	9	55	31	56	41	101	38	141	33	5	2	34	195	229	185	37	30	120	52	100	57	190	47
"otu14"	21	39	156	179	64	71	26	47	52	38	4	141	33	38	26	26	255	24	424	77	54	96	21	182	919	59	56	65	53	27
"otu15"	144	42	53	44	42	14	47	21	144	28	109	93	76	53	36	797	77	58	6	6	105	516	30	496	42	50	26	120	19	18
"otu16"	349	73	109	11	40	26	43	36	116	15	137	320	40	51	23	12	44	67	27	57	37	66	236	39	267	31	87	38	27	135
"otu17"	72	25	57	32	69	46	55	14	356	19	598	5	40	47	15	180	36	29	30	5	180	41	51	34	82	121	81	10	136	133
"otu18"	22	36	49	183	64	136	13	38	130	15	124	33	68	19	121	52	27	546	72	30	68	41	29	88	56	308	52	49	63	91
"otu19"	518	91	33	15	10	51	82	137	111	138	203	140	225	18	64	65	25	117	56	13	24	204	32	68	102	33	81	60	77	28
"otu2"	32	165	237	37	15	32	81	111	191	157	127	25	73	15	89	35	25	39	167	19	258	2	75	23	6	2	21	155	63	145
"otu20"	75	61	171	7	53	114	41	76	59	19	54	72	62	31	7	570	127	25	41	37	124	263	58	34	31	54	44	31	120	256
"otu21"	64	4	7	64	65	148	29	93	77	36	6	32	49	3	3	28	103	77	3	17	55	175	27	162	51	113	16	18	42	38
"otu22"	179	121	162	54	10	211	108	99	21	294	54	176	22	98	186	27	23	283	43	9	169	124	327	40	150	67	9	6	776	36
"otu23"	44	33	17	64	33	28	11	146	18	29	28	73	61	116	69	51	83	59	28	109	26	23	37	14	327	106	11	308	116	220
"otu24"	19	2	445	82	187	190	37	54	24	34	18	20	7	46	113	13	6	79	64	38	116	111	56	305	5	134	10	39	188	21
"otu25"	14	37	108	269	227	208	38	1280	79	21	74	223	338	379	35	48	98	45	143	42	116	21	59	793	33	107	1072	18	58	21
"otu26"	12	217	213	55	111	149	27	60	588	14	92	400	227	87	54	196	146	9	141	64	52	61	57	48	36	279	10	296	555	139
"otu27"	293	26	242	186	143	170	425	114	18	136	56	60	25	78	29	25	35	71	76	50	38	81	12	40	11	60	8	114	43	17
"otu28"	15	23	156	224	17	285	38	161	22	29	67	76	140	78	89	94	242	116	398	271	26	13	16	188	51	44	79	26	64	95
"otu29"	87	22	142	5	23	298	14	110	69	825	91	41	5	30	54	85	123	102	67	205	20	76	255	42	74	56	45	86	121	25
"otu3"	480	63	286	225	76	58	95	396	77	156	304	114	143	95	148	47	137	34	319	155	130	147	3	115	72	132	54	56	25	18
"otu30"	165	90	7	70	58	48	9	15	44	68	125	26	146	30	62	90	324	110	30	104	37	89	23	445	22	424	8	30	43	69
"otu31"	24	8	164	33	34	99	326	30	70	8	12	106	117	21	25	277	32	565	24	89	103	51	189	46	164	63	111	26	169	49
"otu32"	161	7	383	93	50	241	20	177	102	86	387	35	50	69	96	33	19	14	372	136	92	65	69	56	45	12	84	136	21	14
"otu33"	17	128	48	122	653	107	11	140	228	8	42	145	48	16	38	50	95	83	73	109	175	61	9	40	55	81	113	162	12	36
"otu34"	17	80	26	42	96	48	36	102	13	87	102	60	17	265	134	20	47	158	66	62	33	55	90	85	34	451	202	526	8	55
"otu35"	21	196	96	71	26	286	136	50	94	222	143	132	38	1	23	49	22	65	307	95	448	87	8	11	101	242	11	50	46	24
"otu36"	12	144	50	205	103	58	32	126	147	58	65	55	59	38	97	17	5	45	962	89	2	62	97	60	34	33	39	100	139	98
"otu37"	33	256	36	73	83	337	10	103	23	59	205	175	139	36	901	79	123	20	43	77	35	21	67	30	119	23	29	34	10	20
"otu38"	46	31	109	31	343	153	91	27	106	18	198	289	40	134	49	63	37	11	229	35	36	13	220	3	140	49	57	66	78	123
"otu39"	89	137	40	14	189	71	142	35	23	60	17	16	104	58	137	79	9	68	155	123	139	260	207	158	169	24	44	171	166	10
"otu4"	259	93	43	177	207	301	41	103	12	30	116	25	17	49	214	15	9	80	93	29	31	14	12	11	111	183	47	20	28	43
"otu40"	76	66	20	349	48	25	175	69	69	41	7	98	62	35	39	7	49	38	18	92	42	33	103	94	10	134	246	85	25	156
"otu41"	76	21	29	133	15	42	346	141	176	68	14	147	56	129	201	32	46	27	41	47	39	73	4	31	24	48	31	19	43	275
"otu42"	182	135	13	43	14	21	45	33	96	185	31	42	16	233	62	118	140	20	89	410	87	59	505	77	100	31	75	33	78	104
"otu43"	158	117	163	44	103	47	17	486	67	49	129	225	27	60	46	155	25	23	259	75	134	121	34	117	45	159	419	18	174	175
"otu44"	33	26	43	45	84	74	150	67	163	47	8	122	37	139	29	165	26	21	15	9	89	25	36	24	124	115	53	25	41	36
"otu45"	93	247	102	6	261	31	121	33	10	149	221	24	12	72	44	38	83	154	139	69	281	27	12	46	85	235	133	35	227	50
"otu46"	31	25	57	108	88	34	127	28	24	18	122	109	55	16	203	35	52	7	108	82	123	18	63	73	219	366	35	29	124	16
"otu47"	110	26	349	72	273	63	8	34	21	58	68	20	111	699	106	17	55	120	32	331	169	775	830	263	224	70	152	32	88	264
"otu48"	290	86	42	39	28	31	40	202	202	54	120	54	97	304	258	61	43	385	72	126	16	29	68	109	10	29	53	59	44	10
"otu49"	5	29	184	108	221	13	54	47	80	23	16	16	142	103	200	91	27	30	34	43	52	16	74	46	98	14	41	17	39	32
"otu5"	76	128	65	51	128	22	183	23	77	54	34	128	353	168	147	101	205	10	133	1033	28	80	5	129	61	16	146	45	37	68
"otu50"	48	41	89	11	77	58	153	57	54	30	74	102	100	113	59	43	128	94	31	44	247	89	176	746	29	148	45	75	134	116
"otu51"	109	154	25	23	61	95	92	16	126	222	24	32	14	148	45	16	109	95	106	59	102	94	35	37	96	95	246	368	71	9
"otu52"	39	44	344	65	167	48	24	21	41	15	17	174	33	29	91	64	55	36	27	69	45	117	54	33	17	38	26	59	99	30
"otu53"	117	39	40	22	125	39	40	134	59	2	62	33	79	223	10	187	615	57	79	57	37	91	346	199	38	152	246	87	49	202
"otu54"	25	16	50	45	21	11	52	76	82	21	166	102	42	33	15	42	45	22	24	29	57	644	12	28	69	22	79	255	5	52
"otu55"	225	10	43	21	6	46	39	19	25	11	48	121	31	371	12	186	382	70	22	114	69	28	21	38	9	14	45	99	714	217
"otu56"	31	543	13	102	260	21	456	43	216	19	24	51	92	249	22	241	79	162	17	19	34	118	30	64	45	20	72	108	44	392
"otu57"	93	144	301	125	38	44	9	61	67	14	65	56	55	75	20	225	237	29	76	61	24	48	84	53	32	231	52	19	40	22
"otu58"	80	309	77	67	51	88	21	94	264	36	201	127	55	94	117	243	42	46	51	85	53	16	538	42	39	92	70	122	70	131
